IP:Port,Loss,Latency
188.114.96.239:2506,0%,30.52
188.114.97.250:1002,0%,30.52
188.114.96.183:1070,0%,30.53
188.114.96.68:939,0%,30.54
188.114.98.100:942,0%,30.55
188.114.99.199:1701,0%,30.61
188.114.97.16:4198,0%,30.63
188.114.96.179:939,0%,30.63
188.114.98.169:1010,0%,30.66
188.114.98.174:2408,0%,30.67
188.114.97.6:5279,0%,30.68
188.114.98.28:859,0%,30.69
188.114.97.235:7156,0%,30.69
188.114.99.146:8319,0%,30.70
188.114.97.249:946,0%,30.73
188.114.99.76:8742,0%,30.75
188.114.96.99:891,0%,30.78
188.114.99.203:908,0%,30.79
188.114.98.181:3138,0%,30.81
188.114.99.74:943,0%,30.82
188.114.97.143:1074,0%,30.84
188.114.97.192:1074,0%,30.84
188.114.98.139:890,0%,30.87
188.114.98.125:854,0%,30.88
188.114.98.111:955,0%,30.94
188.114.99.184:7152,0%,30.95
188.114.98.202:890,0%,30.96
188.114.98.171:859,0%,30.97
188.114.96.228:854,0%,30.98
188.114.97.97:987,0%,30.98
188.114.97.209:7559,0%,30.98
188.114.98.224:880,0%,30.99
188.114.99.61:1387,0%,31.01
188.114.96.190:4198,0%,31.03
188.114.98.83:2506,0%,31.04
188.114.97.129:2506,0%,31.04
188.114.97.64:1070,0%,31.06
188.114.99.23:928,0%,31.06
188.114.98.168:4233,0%,31.08
188.114.97.34:8319,0%,31.11
188.114.96.229:864,0%,31.11
188.114.96.80:7152,0%,31.12
188.114.99.192:2506,0%,31.12
188.114.98.75:7281,0%,31.12
188.114.98.22:946,0%,31.15
188.114.99.82:1014,0%,31.19
188.114.97.94:3476,0%,31.19
188.114.97.129:859,0%,31.24
188.114.97.138:1843,0%,31.26
188.114.97.130:987,0%,31.27
188.114.96.125:1074,0%,31.29
188.114.96.106:934,0%,31.31
188.114.99.84:500,0%,31.31
188.114.99.157:5279,0%,31.35
188.114.99.226:1701,0%,31.36
188.114.96.215:854,0%,31.40
188.114.99.34:939,0%,31.41
188.114.97.190:8319,0%,31.44
188.114.99.65:988,0%,31.45
188.114.99.148:2506,0%,31.47
188.114.96.63:894,0%,31.48
188.114.98.198:987,0%,31.48
188.114.97.71:7156,0%,31.49
188.114.96.3:854,0%,31.50
188.114.98.225:891,0%,31.51
188.114.96.138:4233,0%,31.52
188.114.99.114:2506,0%,31.53
188.114.97.1:3138,0%,31.53
188.114.98.125:1002,0%,31.54
188.114.96.173:955,0%,31.55
188.114.97.81:8854,0%,31.56
188.114.99.116:1002,0%,31.57
188.114.99.234:8886,0%,31.59
188.114.96.89:4198,0%,31.59
188.114.96.152:2371,0%,31.59
188.114.99.114:903,0%,31.60
188.114.98.76:7281,0%,31.61
188.114.96.183:878,0%,31.65
188.114.97.33:1070,0%,31.68
188.114.99.151:1070,0%,31.70
188.114.98.253:854,0%,31.71
188.114.98.16:3138,0%,31.73
188.114.98.138:2506,0%,31.75
188.114.97.211:880,0%,31.76
188.114.97.158:1010,0%,31.76
188.114.99.38:4198,0%,31.79
188.114.96.36:1010,0%,31.81
188.114.97.246:908,0%,31.88
188.114.96.116:1701,0%,31.94
188.114.96.51:2506,0%,31.94
188.114.96.179:968,0%,31.94
188.114.96.49:7152,0%,31.97
188.114.96.131:939,0%,31.99
188.114.98.253:903,0%,32.03
188.114.96.40:2371,0%,32.14
188.114.96.22:7281,0%,32.14
188.114.98.108:943,0%,32.16
188.114.96.187:500,0%,32.16
